Reef_name;Site_name;HAB;Latitude;Longitude;Depth_m;Arch;unique_id;mean_DLI_local;dli_cv_2;dli_cv_2_segment_count;sst_mean;sst_cv_2;sst_cv_2_segment_count;prop_DHW_gt4;prop_DHW_gt8;chl_mean;chl_cv_2;chl_cv_2_segment_count;PC1_Variability;PC2_Variability;PC1_Magnitude;PC2_Magnitude
ARC;PNO;RR;-17,959;-38,701;5,4;outer;PNO_RR;27,801447;2,642581351;121;25,72056198;0,385985345;7383;0;0;0,704662919;5,514438152;119;-1,871540263;-0,019229197;1,569581414;-1,035044394
ARC;SIR;RR;-17,968;-38,707;3,1;outer;SIR_RR;36,44262944;1,869417657;121;25,72056198;0,385985345;7383;0;0;0,704662919;5,514438152;119;-1,967881316;-0,205732567;1,465137874;-1,537505841
ARC;FAR;RR;-17,965;-38,694;5,8;outer;FAR_RR;26,52797287;2,779900365;121;25,71939087;0,386490405;7383;0;0;0,704662919;5,514438152;119;-1,871994963;0,024566904;1,572526185;-0,953387046
ARC;GUA;RR;-17,96;-38,692;5,4;outer;GUA_RR;27,801447;2,642581351;121;25,71939087;0,386490405;7383;0;0;0,704662919;5,514438152;119;-1,889105775;-0,008557335;1,554524935;-1,03998823
ARC;MVE;RR;-17,964;-38,702;4,1;outer;MVE_RR;32,3895393;2,196488143;121;25,72056198;0,385985345;7383;0;0;0,704662919;5,514438152;119;-1,927126279;-0,126836276;1,510742008;-1,318111527
ITA;ITA1;TP;-16,899;-39,063;1,3;inner;ITA1_TP;37,74004125;3,143390902;164;25,63323402;0,34055528;7383;0,003934337;0;2,63612318;18,85008621;165;1,364116108;-1,532470528;-1,934343735;-1,200202976
ITA;ITA1;PA;-16,899;-39,063;4,2;inner;ITA1_PA;19,888734;9,421661305;164;25,63323402;0,34055528;7383;0,003934337;0;2,63612318;18,85008621;165;2,14642804;-0,018019457;-1,688479175;-0,017387234
ITA;ITA2;TP;-16,905;-39,041;2,2;inner;ITA2_TP;34,38776886;3,477527166;198;25,64889717;0,349264026;7383;0,004477004;0;1,904224634;16,34922409;200;0,804086447;-1,141436812;-1,366563821;-0,931771388
ITA;ITA2;PA;-16,905;-39,041;6,2;inner;ITA2_PA;17,48666751;9,04240846;198;25,64889717;0,349264026;7383;0,004477004;0;1,904224634;16,34922409;200;1,497505615;0,200929779;-1,108099725;0,311658741
ITA;ITA3;PA;-16,903;-39,031;12,3;inner;ITA3_PA;6,816167397;16,93570436;198;25,64889717;0,349264026;7383;0,004477004;0;1,904224634;16,34922409;200;2,481059871;2,104959021;-0,765431324;1,960182542
