SITE_COL,YEAR,SITE,HAB,REEF,HEALTH %,BLEACHING %,DEAD %,HEALTH_PC1,HEALTH_PC2,PC1_INTERACAO,PC2_INTERACAO
FAR_1,2006,FAR,RR,ARC,55.178501373087485,44.82149862691252,0.0,-0.11629614181942731,-0.661373712746016,0.9889897656067295,0.47624203276311
FAR_1,2007,FAR,RR,ARC,64.48686770428014,32.076848249027236,3.4362840466926072,0.45015711646185513,-0.22811205153939126,1.2473073088310642,1.4440352389999211
FAR_1,2008,FAR,RR,ARC,66.78246286535698,33.217537134643024,0.0,0.5455282787995448,-0.4606950876188194,-0.24162651200087013,2.090183062672452
FAR_2,2006,FAR,RR,ARC,40.81357702349869,46.741514360313325,12.444908616187991,-0.8068177914519425,0.07630469737326401,0.9889897656067295,0.47624203276311
FAR_2,2007,FAR,RR,ARC,57.47263017356475,38.51357365376057,19.808188696039164,-0.2220549154971994,0.6152298516248345,1.2473073088310642,1.4440352389999211
FAR_2,2008,FAR,RR,ARC,42.133123689727455,10.204402515723272,47.66247379454927,-0.36714792699378185,2.889681289395922,-0.24162651200087013,2.090183062672452
FAR_3,2006,FAR,RR,ARC,31.85051371796318,47.63463926837531,20.514847013661512,-1.2345173830477165,0.5607404901307648,0.9889897656067295,0.47624203276311
FAR_3,2007,FAR,RR,ARC,24.09601776051062,29.554599694741224,46.34938254474817,-1.409469655520463,2.473701784274743,1.2473073088310642,1.4440352389999211
FAR_3,2008,FAR,RR,ARC,0.0,1.9047619047619049,98.0952380952381,-2.2483351322965457,6.15720477927486,-0.24162651200087013,2.090183062672452
FAR_4,2006,FAR,RR,ARC,53.13346228239845,40.81237911025145,6.0541586073500975,-0.17028879534536032,-0.2170233914083267,0.9889897656067295,0.47624203276311
FAR_4,2007,FAR,RR,ARC,48.501124156882334,50.28728453659754,1.2115913065201098,-0.48459919749408153,-0.6808484872181992,1.2473073088310642,1.4440352389999211
FAR_4,2008,FAR,RR,ARC,58.93196444989274,33.81857186638063,7.249463683726633,0.17279332105051706,-0.022031096419130133,-0.24162651200087013,2.090183062672452
FAR_5,2006,FAR,RR,ARC,79.0882638215325,20.911736178467507,0.0,1.2473816582250916,-0.24787886803558315,0.9889897656067295,0.47624203276311
FAR_5,2007,FAR,RR,ARC,85.2090909090909,14.790909090909091,0.0,1.5964790629028782,-0.14202543467225925,1.2473073088310642,1.4440352389999211
FAR_5,2008,FAR,RR,ARC,71.58371040723982,14.217194570135746,14.199095022624434,0.9662880926548826,0.7474402012819408,-0.24162651200087013,2.090183062672452
FAR_6,2006,FAR,RR,ARC,48.458357265939114,40.0,11.541642734060883,-0.38014916362491835,0.1369406917965541,0.9889897656067295,0.47624203276311
FAR_6,2007,FAR,RR,ARC,55.2421500798297,35.05588078765301,9.701969132517297,-0.01227578459820197,0.10848806276224329,1.2473073088310642,1.4440352389999211
FAR_6,2008,FAR,RR,ARC,51.79391350774159,38.99092365189535,9.215162840363053,-0.21398090331193348,0.010280967495677334,-0.24162651200087013,2.090183062672452
FAR_7,2006,FAR,RR,ARC,32.799404382046376,64.28419485215912,2.916400765794512,-1.3624962528276212,-0.8173085830274301,0.9889897656067295,0.47624203276311
FAR_7,2007,FAR,RR,ARC,25.356847160125852,73.37307501241928,1.2700778274548767,-1.8040128474194865,-1.0764707120412675,1.2473073088310642,1.4440352389999211
FAR_7,2008,FAR,RR,ARC,16.753695755841683,69.55174058178349,13.694563662374822,-2.1661268353644867,-0.24076659485584323,-0.24162651200087013,2.090183062672452
GUA_1,2006,GUA,RR,ARC,20.32049608355092,72.97650130548303,6.703002610966056,-2.035041198101986,-0.7330771623567787,-0.26532104031309095,-0.7823241433909263
GUA_1,2007,GUA,RR,ARC,41.338472319551514,56.250875963559906,2.4106517168885775,-0.8807092388162164,-0.7097085075804387,-1.9050246008815221,-0.5573831360147241
GUA_1,2008,GUA,RR,ARC,51.832283082889,45.123606398448864,3.0441105186621424,-0.2756468911297192,-0.4780350280108138,-2.021337755069547,-0.4653711340670653
GUA_2,2006,GUA,RR,ARC,34.28640894724045,58.92292730367128,6.790663749088257,-1.237597347103043,-0.48460494741562565,-0.26532104031309095,-0.7823241433909263
GUA_2,2007,GUA,RR,ARC,29.118587047939453,29.2094196804037,41.671993271656845,-1.1714095090618541,2.1899367355777164,-1.9050246008815221,-0.5573831360147241
GUA_2,2008,GUA,RR,ARC,3.142708604107091,0.0,96.85729139589291,-2.0819023192107213,6.1134627427044315,-2.021337755069547,-0.4653711340670653
MVE_1,2006,MVE,RR,ARC,47.86835222319093,46.57367044463818,5.55797733217088,-0.4757151222167321,-0.3473943035824502,-0.689960848563595,-0.8356046509803111
MVE_1,2007,MVE,RR,ARC,30.994189799870885,47.72756617172369,21.27824402840542,-1.275458085196725,0.6064210151953376,1.0512580828518985,-1.0332263611356072
MVE_1,2008,MVE,RR,ARC,49.21672555948175,50.783274440518255,0.0,-0.4563221602036135,-0.7644765172828983,-0.03498380641153431,3.335014274256019
MVE_2,2006,MVE,RR,ARC,36.706070927669806,63.293929072330194,0.0,-1.1698592362081313,-0.9808354713026765,-0.689960848563595,-0.8356046509803111
MVE_2,2007,MVE,RR,ARC,32.42626070409135,57.202664129400574,10.371075166508088,-1.3066417326494928,-0.23307099181510052,1.0512580828518985,-1.0332263611356072
MVE_2,2008,MVE,RR,ARC,27.767576709350088,22.800193283401786,49.432230007248116,-1.168165202966243,2.781475159876469,-0.03498380641153431,3.335014274256019
PNO_1,2006,PNO,RR,ARC,2.833492518306271,64.40624005093919,32.76026743075454,-2.762776062256076,1.0292189250622283,0.012066399912220954,-0.8996717330243378
PNO_1,2007,PNO,RR,ARC,55.054376894277055,44.945623105722945,0.0,-0.12337550099586624,-0.6635203184348489,-0.16104525071998585,-0.5017317287072733
PNO_1,2008,PNO,RR,ARC,54.79172265520022,26.91480784735286,18.29346949744692,0.05093410475612653,0.7814685054087346,-1.2542345489470057,-0.6900105536458168
PNO_2,2006,PNO,RR,ARC,7.180693069306926,24.076732673267326,68.74257425742573,-2.142512830558393,3.9555520044826182,0.012066399912220954,-0.8996717330243378
PNO_2,2007,PNO,RR,ARC,38.68478260869565,36.141304347826086,25.173913043478258,-0.7965200490540898,1.048105516788416,-0.16104525071998585,-0.5017317287072733
