SITE_COL;YEAR;SITE;HAB;REEF;HEALTH_PC1;HEALTH_PC2;HEALTH %;BLEACHING %;DEAD %
TIM1_7;2006;TIM1;TP;TIM;-1,512705758;-1,08479351;30,69484241;69,30515759;0
SGO_8;2008;SGO;TP;UCR;-1,474435066;-1,073189058;31,36585366;68,63414634;0
PLE_7;2006;PLE;TP;UCR;-1,474073289;-0,673745851;30,42017804;64,33234421;5,247477745
ITA7_2;2007;ITA7;TP;ITA;-1,473696049;1,059733798;26,29441624;45,68066451;28,02491924
PA2_8;2008;PA2;TP;UCR;-1,471192542;-0,838411431;30,86533538;66,062468;3,072196621
PAB3_4;2007;PAB3;TP;PAB;-1,438585865;-1,062318851;31,9944082;68,0055918;0
TIM3_3;2007;TIM3;PA;TIM;-1,416298941;-1,055561002;32,38517137;67,61482863;0
FAR_3;2007;FAR;RR;ARC;-1,409469656;2,473701784;24,09601776;29,55459969;46,34938254
TIM1_6;2006;TIM1;TP;TIM;-1,392248249;-1,048268343;32,80685921;67,19314079;0
PLE_6;2008;PLE;TP;UCR;-1,382813283;-0,938069382;32,71638916;65,87312509;1,410485758
FAR_7;2006;FAR;RR;ARC;-1,362496253;-0,817308583;32,79940438;64,28419485;2,916400766
SGO_7;2007;SGO;TP;UCR;-1,335614855;-0,073056037;31,51584356;55,89494719;12,58920925
MVE_2;2007;MVE;RR;ARC;-1,306641733;-0,233070992;32,4262607;57,20266413;10,37107517
TIM1_1;2006;TIM1;PA;TIM;-1,294503143;0,233091782;31,53652393;52,01511335;16,44836272
SGO_6;2006;SGO;TP;UCR;-1,288646339;-1,016854137;34,62334185;65,37665815;0
PAB3_2;2006;PAB3;TP;PAB;-1,277254681;-0,879040835;35,47619048;64,52380952;2,115306122
MVE_1;2007;MVE;RR;ARC;-1,275458085;0,606421015;30,9941898;47,72756617;21,27824403
ITA6_1;2006;ITA6;PA;ITA;-1,241108504;-0,399980683;34,02056277;58,06277056;7,916666667
GUA_2;2006;GUA;RR;ARC;-1,237597347;-0,484604947;34,28640895;58,9229273;6,790663749
FAR_3;2006;FAR;RR;ARC;-1,234517383;0,56074049;31,85051372;47,63463927;20,51484701
SGO_1;2006;SGO;PA;UCR;-1,213458442;-0,944447423;35,82336634;63,52475248;0,651881188
ARE_5;2007;ARE;TP;UCR;-1,206244841;-0,991868327;36,06811146;63,93188854;0
TIM1_1;2007;TIM1;PA;TIM;-1,198391977;-0,989487179;36,20579802;63,79420198;0
GUA_2;2007;GUA;RR;ARC;-1,171409509;2,189936736;29,11858705;29,20941968;41,67199327
MVE_2;2006;MVE;RR;ARC;-1,169859236;-0,980835471;36,70607093;63,29392907;0
MVE_2;2008;MVE;RR;ARC;-1,168165203;2,78147516;27,76757671;22,80019328;49,43223001
SGO_6;2007;SGO;TP;UCR;-1,159765404;0,232983712;33,99657747;50,09334163;15,9100809
SGO_6;2008;SGO;TP;UCR;-1,130870695;1,149328641;32,33950046;39,82423682;27,83626272
PAB1_3;2007;PAB1;TP;PAB;-1,120598754;2,313364188;29,75194372;27,15660866;43,09144761
PA2_4;2007;PA2;PA;UCR;-1,10344905;-0,960698552;37,87046018;62,12953982;0
ITA1_4;2008;ITA1;TP;ITA;-1,078276006;1,24276551;33,07692308;38,06856187;28,85451505
PAB2_2;2008;PAB2;TP;PAB;-1,058683083;-0,675298805;38,00731707;58,42073171;3,57195122
PLE_7;2007;PLE;TP;UCR;-1,044960506;1,027779296;34,19766796;39,905608;25,89672404
PA2_9;2008;PA2;TP;UCR;-1,003966992;-0,794531814;39,29047746;58,9223793;1,787143238
PAB1_4;2007;PAB1;TP;PAB;-0,994772934;-0,927745743;39,77591036;60,22408964;0
PA2_9;2007;PA2;TP;UCR;-0,953123851;-0,915116894;40,50615595;59,49384405;0
PAB1_1;2007;PAB1;TP;PAB;-0,905946325;-0,900811709;41,33333333;58,66666667;0
PAB2_2;2006;PAB2;TP;PAB;-0,903481818;-0,821555587;41,18937768;57,77896996;1,031652361
GUA_1;2007;GUA;RR;ARC;-0,880709239;-0,709708508;41,33847232;56,25087596;2,410651717
FAR_2;2006;FAR;RR;ARC;-0,806817791;0,076304697;40,81357702;46,74151436;12,44490862
PNO_2;2007;PNO;RR;ARC;-0,796520049;1,048105517;38,68478261;36,14130435;25,17391304
ITA7_2;2006;ITA7;TP;ITA;-0,794564198;-0,774530318;43,06568779;55,7187017;1,21561051
PAB2_2;2007;PAB2;TP;PAB;-0,791877621;-0,866223758;43,33333333;56,66666667;0
TIM1_5;2007;TIM1;PA;TIM;-0,784768574;0,3999879;40,44444444;42,94511379;16,61044177
PA2_4;2006;PA2;PA;UCR;-0,78373341;-0,863754267;43,47612819;56,52387181;0
TIM1_6;2008;TIM1;TP;TIM;-0,782483147;-0,863375162;43,49804941;56,50195059;0
PAB2_5;2007;PAB2;TP;PAB;-0,742576741;-0,851274728;44,19774011;55,80225989;0
PA2_10;2008;PA2;TP;UCR;-0,741804636;-0,85104061;44,21127766;55,78872234;0
PAB3_4;2008;PAB3;TP;PAB;-0,736113346;-0,849314895;44,31106472;55,68893528;0
PAB1_4;2008;PAB1;TP;PAB;-0,715979495;0,242310372;42,07617625;43,65944735;14,2643764
PNO_2;2008;PNO;RR;ARC;-0,677366596;-0,18048923;43,7890625;47,65625;8,5546875
TIM1_3;2006;TIM1;PA;TIM;-0,638396476;-0,819685153;46,02436323;53,97563677;0
