Site_name;HAB;Arch;dli_cv_30_segment_count;sst_cv_30_segment_count;chl_cv_30_segment_count
PNO;RR;outer;1225;7384;1220
SIR;RR;outer;1225;7384;1220
FAR;RR;outer;1225;7384;1220
GUA;RR;outer;1225;7384;1220
MVE;RR;outer;1225;7384;1220
ITA1;TP;inner;1519;7384;1535
ITA1;PA;inner;1519;7384;1535
ITA2;TP;inner;1737;7384;1744
ITA2;PA;inner;1737;7384;1744
ITA3;PA;inner;1737;7384;1744
ITA4;TP;inner;1519;7384;1535
ITA4;PA;inner;1519;7384;1535
ITA5;TP;inner;1519;7384;1535
ITA5;PA;inner;1519;7384;1535
ITA6;TP;inner;1519;7384;1535
ITA6;PA;inner;1519;7384;1535
ITA7;TP;inner;1737;7384;1744
ITA7;PA;inner;1737;7384;1744
ITA-NT1;TP;inner;1519;7384;1535
ITA-NT1;PA;inner;1519;7384;1535
ITA-NT2;PA;inner;1737;7384;1744
ITA-NT3;PA;inner;1737;7384;1744
PAB1;TP;outer;1400;7384;1400
PAB1;PA;outer;1400;7384;1400
PAB2;TP;outer;1225;7384;1220
PAB2;PA;outer;1225;7384;1220
PAB3;TP;outer;1225;7384;1220
PAB3;PA;outer;1225;7384;1220
PAB4;TP;outer;1400;7384;1400
PAB4;PA;outer;1400;7384;1400
PAB5;TP;outer;1493;7384;1496
PAB5;PA;outer;1493;7384;1496
ARE;TP;inner;1582;7384;1593
ARE;PA;inner;1582;7384;1593
PA2;TP;inner;461;7384;461
PA2;PA;inner;461;7384;461
PLE;TP;inner;1216;7384;1221
PLE;PA;inner;1216;7384;1221
SGO;TP;inner;1239;7384;1234
SGO;PA;inner;1239;7384;1234
TIM1;TP;inner;1608;7384;1621
TIM1;PA;inner;1608;7384;1621
TIM2;TP;inner;1608;7384;1621
TIM2;PA;inner;1608;7384;1621
TIM3;TP;inner;1608;7384;1621
TIM3;PA;inner;1608;7384;1621
