REEF_NAME;SITE_NAME;HAB;LATITUDE;LONGITUDE;DEPTH_M;ARCH;UNIQUE_LABEL;SST_PERIOD_PRIMARY;SST_FAP_PRIMARY;DLI_PERIOD_PRIMARY;DLI_FAP_PRIMARY;CHL_PERIOD_PRIMARY;CHL_FAP_PRIMARY;SST_PERIOD_SECONDARY;SST_FAP_SECONDARY;DLI_PERIOD_SECONDARY;DLI_FAP_SECONDARY;CHL_PERIOD_SECONDARY;CHL_FAP_SECONDARY
ARC;PNO;RR;-17,959;-38,701;5,4;outer;PNO (5.4m);365,0182196772514;0,0;368,8594783962631;4,9134027934697946e-225;368,8594783962631;3,0131990006663392e-27;33,21403759920844;1,2878312435066885e-36;28,114986483813542;8,171802103084382e-05;2,301427530561028;0,04001542322060761
ARC;SIR;RR;-17,968;-38,707;3,1;outer;SIR (3.1m);365,0182196772514;0,0;368,8594783962631;2,812388683410227e-258;368,8594783962631;3,0131990006663392e-27;33,21403759920844;1,2878312435066885e-36;28,114986483813542;7,41028461028531e-08;2,301427530561028;0,04001542322060761
ARC;FAR;RR;-17,965;-38,694;5,8;outer;FAR (5.8m);365,0182196772514;0,0;368,8594783962631;1,4229790360774943e-220;368,8594783962631;3,0131990006663392e-27;33,21403759920844;1,3449700236725136e-36;28,14839263317711;0,00018582302837746303;2,301427530561028;0,04001542322060761
ARC;GUA;RR;-17,96;-38,692;5,4;outer;GUA (5.4m);365,0182196772514;0,0;368,8594783962631;4,9134027934697946e-225;368,8594783962631;3,0131990006663392e-27;33,21403759920844;1,3449700236725136e-36;28,114986483813542;8,171802103084382e-05;2,301427530561028;0,04001542322060761
ARC;MVE;RR;-17,964;-38,702;4,1;outer;MVE (4.1m);365,0182196772514;0,0;368,8594783962631;4,101589421173247e-242;368,8594783962631;3,0131990006663392e-27;33,21403759920844;1,2878312435066885e-36;28,114986483813542;2,6063946101232237e-06;2,301427530561028;0,04001542322060761
ITA ;ITA1;TP;-16,899;-39,063;1,3;inner;ITA1 (1.3m);365,0182196772514;0,0;363,17606444188726;0,0;368,8352162056876;1,3811787419123492e-34;112,09236234458258;3,1505840514647526e-32;33,22105263157894;6,647439501141195e-08;14,752259270800872;5,890592373454765e-07
ITA ;ITA1;PA;-16,899;-39,063;4,2;inner;ITA1 (4.2m);365,0182196772514;0,0;368,8352162056876;3,5292631624269886e-152;368,8352162056876;1,3811787419123492e-34;112,09236234458258;3,1505840514647526e-32;2,2859626249456757;1,7383900590107578e-07;14,752259270800872;5,890592373454765e-07
ITA ;ITA2;TP;-16,905;-39,041;2,2;inner;ITA2 (2.2m);365,0182196772514;0,0;363,17606444188726;4,4295376e-317;363,17606444188726;1,660724838399653e-108;112,23589670626734;4,066340951290181e-32;28,128342245989305;5,049762801661616e-06;;
ITA ;ITA2;PA;-16,905;-39,041;6,2;inner;ITA2 (6.2m);365,0182196772514;0,0;363,17606444188726;8,904114682668558e-197;363,17606444188726;1,660724838399653e-108;112,23589670626734;4,066340951290181e-32;;;;
ITA ;ITA3;PA;-16,903;-39,031;12,3;inner;ITA3 (12.3m);365,0182196772514;0,0;368,8352162056876;1,174633529953771e-149;363,17606444188726;1,660724838399653e-108;112,23589670626734;4,066340951290181e-32;;;;
ITA ;ITA4;TP;-16,896;-39,063;1,5;inner;ITA4 (1.5m);365,0182196772514;0,0;363,17606444188726;1,5465508081618245e-307;368,8352162056876;1,3811787419123492e-34;112,09236234458258;3,1505840514647526e-32;33,22105263157894;4,385718260919645e-06;14,752259270800872;5,890592373454765e-07
ITA ;ITA4;PA;-16,896;-39,063;4,5;inner;ITA4 (4.5m);365,0182196772514;0,0;368,8352162056876;1,938663147627725e-143;368,8352162056876;1,3811787419123492e-34;112,09236234458258;3,1505840514647526e-32;2,2859626249456757;1,1425979188795294e-07;14,752259270800872;5,890592373454765e-07
ITA ;ITA5;TP;-16,901;-39,042;1,5;inner;ITA5 (1.5m);365,0182196772514;0,0;363,17606444188726;1,5465508081618245e-307;368,8352162056876;1,3811787419123492e-34;112,23589670626734;4,066340951290181e-32;33,22105263157894;4,385718260919645e-06;14,752259270800872;5,890592373454765e-07
ITA ;ITA5;PA;-16,901;-39,042;3,6;inner;ITA5 (3.6m);365,0182196772514;0,0;363,17606444188726;4,5748612958762036e-173;368,8352162056876;1,3811787419123492e-34;112,23589670626734;4,066340951290181e-32;2,2859626249456757;4,8227169992338e-07;14,752259270800872;5,890592373454765e-07
ITA ;ITA6;TP;-16,892;-39,063;1,4;inner;ITA6 (1.4m);365,0182196772514;0,0;363,17606444188726;9,532893e-318;368,8352162056876;1,3811787419123492e-34;112,09236234458258;3,1505840514647526e-32;33,22105263157894;6,222038132310941e-07;14,752259270800872;5,890592373454765e-07
ITA ;ITA6;PA;-16,892;-39,063;4,3;inner;ITA6 (4.3m);365,0182196772514;0,0;368,8352162056876;3,6649789436559365e-149;368,8352162056876;1,3811787419123492e-34;112,09236234458258;3,1505840514647526e-32;2,2859626249456757;1,5026315815576376e-07;14,752259270800872;5,890592373454765e-07
ITA ;ITA7;TP;-16,898;-39,04;2,6;inner;ITA7 (2.6m);365,0182196772514;0,0;363,17606444188726;2,618271631126263e-294;363,17606444188726;1,660724838399653e-108;112,09236234458258;2,3710638774612223e-31;28,128342245989305;0,00011296991658525174;;
ITA ;ITA7;PA;-16,898;-39,04;5,6;inner;ITA7 (5.6m);365,0182196772514;0,0;363,17606444188726;6,884823343434806e-206;363,17606444188726;1,660724838399653e-108;112,09236234458258;2,3710638774612223e-31;;;;
ITA ;ITA-NT1;TP;-16,909;-39,06;1,7;inner;ITA-NT1 (1.7m);365,0182196772514;0,0;363,17606444188726;2,0382885675800038e-288;368,8352162056876;1,3811787419123492e-34;112,09236234458258;5,105401189543025e-33;33,22105263157894;0,00010794069103141623;14,752259270800872;5,890592373454765e-07
