2026-01-17 15:44:01,138 | INFO     | Starting Smart MODIS/CRW Database Update v2.0
2026-01-17 15:44:01,139 | INFO     | === Processing Product: MODIS_CHL ===
2026-01-17 15:44:02,911 | INFO     | Auditing 42244 files in K:\remote sensing\MODIS_DATA_FULL...
2026-01-17 16:45:26,306 | WARNING  | [MODIS_CHL] AQUA_MODIS.20120206.L3m.DAY.CHL.chlor_a.4km.nc is OPEN_ERROR: [Errno -101] NetCDF: HDF error: 'K:\\remote sensin. Will try to re-download.
2026-01-17 16:46:18,576 | INFO     | Checking remote availability for 117 missing dates...
2026-01-17 16:46:20,988 | WARNING  | Connection pool is full, discarding connection: oceandata.sci.gsfc.nasa.gov. Connection pool size: 10
2026-01-17 16:46:20,992 | WARNING  | Connection pool is full, discarding connection: oceandata.sci.gsfc.nasa.gov. Connection pool size: 8
2026-01-17 16:46:21,274 | WARNING  | Connection pool is full, discarding connection: oceandata.sci.gsfc.nasa.gov. Connection pool size: 10
2026-01-17 16:46:21,287 | WARNING  | Connection pool is full, discarding connection: oceandata.sci.gsfc.nasa.gov. Connection pool size: 10
2026-01-17 16:46:21,312 | WARNING  | Connection pool is full, discarding connection: oceandata.sci.gsfc.nasa.gov. Connection pool size: 10
2026-01-17 16:46:21,319 | WARNING  | Connection pool is full, discarding connection: oceandata.sci.gsfc.nasa.gov. Connection pool size: 10
2026-01-17 16:46:21,329 | WARNING  | Connection pool is full, discarding connection: oceandata.sci.gsfc.nasa.gov. Connection pool size: 10
2026-01-17 16:46:21,335 | WARNING  | Connection pool is full, discarding connection: oceandata.sci.gsfc.nasa.gov. Connection pool size: 10
2026-01-17 16:46:21,336 | WARNING  | Connection pool is full, discarding connection: oceandata.sci.gsfc.nasa.gov. Connection pool size: 10
2026-01-17 16:46:21,346 | WARNING  | Connection pool is full, discarding connection: oceandata.sci.gsfc.nasa.gov. Connection pool size: 10
2026-01-17 16:46:21,349 | INFO     | Found 117 gaps available on server.
2026-01-17 16:46:21,350 | INFO     | Starting download of 117 files...
2026-01-17 16:46:40,254 | INFO     | === Processing Product: MODIS_SST ===
2026-01-17 16:46:41,355 | INFO     | Auditing 42244 files in K:\remote sensing\MODIS_DATA_FULL...
2026-01-17 17:58:09,582 | INFO     | Checking remote availability for 143 missing dates...
2026-01-17 17:58:11,277 | WARNING  | Connection pool is full, discarding connection: oceandata.sci.gsfc.nasa.gov. Connection pool size: 10
2026-01-17 17:58:13,210 | WARNING  | Connection pool is full, discarding connection: oceandata.sci.gsfc.nasa.gov. Connection pool size: 10
2026-01-17 17:58:13,237 | WARNING  | Connection pool is full, discarding connection: oceandata.sci.gsfc.nasa.gov. Connection pool size: 10
2026-01-17 17:58:13,398 | WARNING  | Connection pool is full, discarding connection: oceandata.sci.gsfc.nasa.gov. Connection pool size: 10
2026-01-17 17:58:13,400 | WARNING  | Connection pool is full, discarding connection: oceandata.sci.gsfc.nasa.gov. Connection pool size: 10
2026-01-17 17:58:13,404 | WARNING  | Connection pool is full, discarding connection: oceandata.sci.gsfc.nasa.gov. Connection pool size: 10
